rank,player,pos,team,tier,adp,bye
1,Ja'Marr Chase,WR,CIN,1,1.2,10
2,Bijan Robinson,RB,ATL,1,2.1,5
3,Saquon Barkley,RB,PHI,1,3.0,9
4,Justin Jefferson,WR,MIN,1,3.8,6
5,Jahmyr Gibbs,RB,DET,1,4.5,8
6,CeeDee Lamb,WR,DAL,1,6.1,10
7,Christian McCaffrey,RB,SF,2,7.4,14
8,Puka Nacua,WR,LAR,1,7.0,8
9,Malik Nabers,WR,NYG,2,8.9,14
10,Amon-Ra St. Brown,WR,DET,2,9.6,8
11,Ashton Jeanty,RB,LV,2,10.8,8
12,Derrick Henry,RB,BAL,2,12.5,7
13,Nico Collins,WR,HOU,2,13.2,6
14,Brian Thomas Jr.,WR,JAX,2,14.0,8
15,De'Von Achane,RB,MIA,2,14.8,12
16,Drake London,WR,ATL,2,15.5,5
17,A.J. Brown,WR,PHI,3,17.2,9
18,Jonathan Taylor,RB,IND,3,18.0,11
19,Josh Jacobs,RB,GB,3,19.4,5
20,Bucky Irving,RB,TB,3,20.1,9
21,Ladd McConkey,WR,LAC,3,21.5,12
22,Tee Higgins,WR,CIN,3,23.0,10
23,Brock Bowers,TE,LV,1,23.8,8
24,Kyren Williams,RB,LAR,3,24.5,8
25,Trey McBride,TE,ARI,1,26.0,8
26,Tyreek Hill,WR,MIA,3,26.8,12
27,Davante Adams,WR,LAR,3,28.2,8
28,Jaxon Smith-Njigba,WR,SEA,3,28.9,8
29,Chase Brown,RB,CIN,4,30.1,10
30,Garrett Wilson,WR,NYJ,3,30.8,9
31,James Cook,RB,BUF,4,32.0,7
32,Terry McLaurin,WR,WAS,4,33.5,12
33,Kenneth Walker III,RB,SEA,4,34.2,8
34,Omarion Hampton,RB,LAC,4,35.0,12
35,Marvin Harrison Jr.,WR,ARI,4,36.4,8
36,Mike Evans,WR,TB,4,37.0,9
37,Rashee Rice,WR,KC,4,38.8,10
38,Breece Hall,RB,NYJ,4,39.5,9
39,Alvin Kamara,RB,NO,4,40.2,11
40,Xavier Worthy,WR,KC,4,42.0,10
41,DK Metcalf,WR,PIT,4,43.1,5
42,Courtland Sutton,WR,DEN,5,44.6,12
43,DJ Moore,WR,CHI,5,45.8,5
44,Chuba Hubbard,RB,CAR,5,46.5,14
45,Josh Allen,QB,BUF,1,47.0,7
46,Lamar Jackson,QB,BAL,1,48.2,7
47,Jayden Daniels,QB,WAS,1,49.0,12
48,Zay Flowers,WR,BAL,5,50.5,7
49,George Kittle,TE,SF,2,51.3,14
50,TreVeyon Henderson,RB,NE,5,52.0,14
51,Jameson Williams,WR,DET,5,53.2,8
52,D'Andre Swift,RB,CHI,5,54.5,5
53,Calvin Ridley,WR,TEN,5,55.8,10
54,Aaron Jones,RB,MIN,5,56.4,6
55,Jerry Jeudy,WR,CLE,5,58.0,9
56,Tony Pollard,RB,TEN,5,59.2,10
57,Jaylen Waddle,WR,MIA,6,60.5,12
58,George Pickens,WR,DAL,6,61.3,10
59,Sam LaPorta,TE,DET,2,62.0,8
60,Isiah Pacheco,RB,KC,6,63.8,10
61,Joe Burrow,QB,CIN,2,64.5,10
62,Travis Hunter,WR,JAX,6,65.2,8
63,RJ Harvey,RB,DEN,6,66.0,12
64,Kaleb Johnson,RB,PIT,6,67.4,5
65,Chris Godwin,WR,TB,6,68.1,9
66,Tetairoa McMillan,WR,CAR,6,69.0,14
67,David Montgomery,RB,DET,6,70.3,8
68,Jordan Addison,WR,MIN,6,71.5,6
69,Jakobi Meyers,WR,LV,6,72.2,8
70,T.J. Hockenson,TE,MIN,3,73.0,6
71,Jalen Hurts,QB,PHI,2,74.1,9
72,Stefon Diggs,WR,NE,7,75.5,14
73,Javonte Williams,RB,DAL,7,76.2,10
74,Zach Charbonnet,RB,SEA,7,77.0,8
75,Tyrone Tracy Jr.,RB,NYG,7,78.4,14
76,Ricky Pearsall,WR,SF,7,79.1,14
77,Jauan Jennings,WR,SF,7,80.0,14
78,Deebo Samuel,WR,WAS,7,81.3,12
79,Jaylen Warren,RB,PIT,7,82.5,5
80,Travis Kelce,TE,KC,3,83.2,10
81,Khalil Shakir,WR,BUF,7,84.0,7
82,Patrick Mahomes,QB,KC,2,85.5,10
83,Rome Odunze,WR,CHI,7,86.3,5
84,Baker Mayfield,QB,TB,3,87.0,9
85,Brian Robinson Jr.,RB,SF,8,88.2,14
86,Quinshon Judkins,RB,CLE,7,89.0,9
87,Jayden Reed,WR,GB,8,90.5,5
88,Mark Andrews,TE,BAL,3,91.2,7
89,Cooper Kupp,WR,SEA,8,92.0,8
90,Rhamondre Stevenson,RB,NE,8,93.4,14
91,Rashid Shaheed,WR,NO,8,94.1,11
92,Bo Nix,QB,DEN,3,95.0,12
93,Tucker Kraft,TE,GB,4,96.3,5
94,Matthew Golden,WR,GB,8,97.0,5
95,Jaydon Blue,RB,DAL,8,98.5,10
96,Cam Skattebo,RB,NYG,8,99.2,14
97,Keon Coleman,WR,BUF,8,100.0,7
98,Kyler Murray,QB,ARI,3,101.4,8
99,Isaac Guerendo,RB,SF,9,102.1,14
100,Evan Engram,TE,DEN,4,103.0,12
101,Braelon Allen,RB,NYJ,9,104.5,9
102,Michael Pittman Jr.,WR,IND,9,105.2,11
103,Justin Herbert,QB,LAC,3,106.0,12
104,Tyjae Spears,RB,TEN,9,107.3,10
105,Jared Goff,QB,DET,4,108.0,8
106,Christian Kirk,WR,HOU,9,109.5,6
107,Dalton Kincaid,TE,BUF,4,110.2,7
108,Tank Bigsby,RB,JAX,9,111.0,8
109,Marvin Mims Jr.,WR,DEN,9,112.4,12
110,Ray Davis,RB,BUF,9,113.1,7
111,Jack Bech,WR,LV,9,114.0,8
